Title,Property Type,Location,Bedrooms_Num,Bathrooms_Num,Size_SQM,Amenities,Surroundings,Price_Numeric,Price_Millions,Price_per_SQM,Amenity_Count,Month,Year,URL
3 Bed Townhouse with En Suite at Dagoretti Road,Townhouse,Gikambura,3,3.0,223.0,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Hospital, Scenic View, School, Shopping Centre",22500000.0,22.5,100896.86098654708,0,1,2026,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-gikambura-3899840
6 Bed Townhouse with En Suite in Lavington,Townhouse,Lavington,6,7.0,450.0,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Gym, Kids Play Area, Parking, Balcony, BBQ, CCTV, Staff Quarters, Electric Fence, Borehole, Wheelchair Access, Gated Community, Garden","Bus Stop, Shopping Centre, Golf Course, Hospital, School, Scenic View",160000000.0,160.0,355555.55555555556,0,2,2026,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-sale-lavington-3913814
2 Bed Villa with En Suite at Tembo Court,Villa,Malindi,2,3.0,506.0,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Furnished, Serviced, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Swimming Pool, Kids Play Area, Gated Community, Wheelchair Access","Bus Stop, Golf Course, Hospital, Scenic View, School, Sea View, Shopping Centre",21000000.0,21.0,41501.976284584984,0,2,2026,https://www.buyrentkenya.com/listings/furnished-2-bedroom-villa-for-sale-malindi-3924679
5 Bed Townhouse with En Suite in Runda,Townhouse,Runda,5,5.0,500.0,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",135000000.0,135.0,270000.0,0,2,2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-runda-3925606
4 Bed Villa with En Suite at Apple Cross,Villa,Lavington,4,5.0,475.0,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Swimming Pool, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Hospital, Scenic View, School, Shopping Centre",130000000.0,130.0,273684.2105263158,0,2,2026,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-lavington-3925565
4 Bed Townhouse with En Suite at Fana Road,Townhouse,Karen,4,5.0,399.0,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Swimming Pool, Gated Community, Kids Play Area","Bus Stop, Hospital, Scenic View, School, Golf Course, Shopping Centre",80000000.0,80.0,200501.2531328321,0,2,2026,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-karen-3925359
5 Bed Villa with En Suite in Lavington,Villa,Lavington,5,5.0,395.0,"En Suite, Fibre Internet, Walk In Closet, Balcony, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",55000000.0,55.0,139240.50632911394,0,2,2026,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-lavington-3925256
5 Bed House with En Suite in Karen,House,Karen,5,5.0,450.0,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",102000000.0,102.0,226666.66666666666,0,2,2026,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3925174
4 Bed Townhouse with En Suite in Karen,Townhouse,Karen,4,5.0,399.0,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, Parking, Kids Play Area, CCTV, Staff Quarters, Electric Fence, Wheelchair Access, Garden, Gated Community","Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School",80000000.0,80.0,200501.2531328321,0,2,2026,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-karen-3923327
4 Bed House with En Suite in Karen,House,Karen,4,4.0,492.0,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",130000000.0,130.0,264227.64227642276,0,2,2026,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3925093
4 Bed House with En Suite in Westlands Area,House,Westlands,4,4.0,1011.715,"Backup Generator, En Suite, Fibre Internet, Walk In Closet, Staff Quarters, Swimming Pool, Borehole, Garden, Gated Community, Kids Play Area, Gym, Balcony","Shopping Centre, Bus Stop, Hospital, School",105000000.0,105.0,103784.16846641594,0,1,2026,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-westlands-area-3890696
4 Bed Villa with En Suite at Muhuri Road Off Waiyaki Way,Villa,Westlands,4,5.0,360.0,"En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Gym, Swimming Pool, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",25000000.0,25.0,69444.44444444444,0,2,2026,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-westlands-area-3918619
7 Bed House with En Suite in Karen,House,Karen,7,7.0,516.0,"Aircon, Alarm, Walk In Closet, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Wheelchair Access, Gated Community, Staff Quarters, Parking, Gym, Kids Play Area","Bus Stop, Hospital, Scenic View, School, Shopping Centre",165000000.0,165.0,319767.4418604651,0,2,2026,https://www.buyrentkenya.com/listings/7-bedroom-house-for-sale-karen-3924998
5 Bed Townhouse with En Suite at Kitisuru,Townhouse,Kitisuru,5,5.0,300.0,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",125000000.0,125.0,416666.6666666667,0,2,2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-kitisuru-3924973
5 Bed Townhouse with En Suite in Lavington,Townhouse,Lavington,5,5.0,400.0,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",69000000.0,69.0,172500.0,0,2,2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3924776
5 Bed Townhouse with En Suite in Lavington,Townhouse,Lavington,5,6.0,756.0,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Hospital, Golf Course, Bus Stop, Scenic View, School, Shopping Centre",110000000.0,110.0,145502.6455026455,0,2,2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3924774
6 Bed Townhouse with En Suite in Lavington,Townhouse,Lavington,6,7.0,670.0,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",195000000.0,195.0,291044.77611940296,0,2,2026,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-sale-lavington-3924751
